article_id,product_code,prod_name,product_type_name,product_group_name,colour_group_name,detail_desc,image_path
1000000,P0000,Black T-shirt,T-shirt,Topwear,black,black t-shirt for everyday wear,images\1000000.jpg
1000001,P0001,Beige Skirt,Skirt,Bottomwear,beige,beige skirt for everyday wear,images\1000001.jpg
1000002,P0002,Navy Boots,Boots,Footwear,navy,navy boots for everyday wear,images\1000002.jpg
1000003,P0003,White Bag,Bag,Accessories,white,white bag for everyday wear,images\1000003.jpg
1000004,P0004,Blue Mini dress,Mini dress,Dress,blue,blue mini dress for everyday wear,images\1000004.jpg
1000005,P0005,Black Jacket,Jacket,Outerwear,black,black jacket for everyday wear,images\1000005.jpg
1000006,P0006,Beige T-shirt,T-shirt,Topwear,beige,beige t-shirt for everyday wear,images\1000006.jpg
1000007,P0007,Black Trousers,Trousers,Bottomwear,black,black trousers for everyday wear,images\1000007.jpg
1000008,P0008,Blue Boots,Boots,Footwear,blue,blue boots for everyday wear,images\1000008.jpg
1000009,P0009,Grey Belt,Belt,Accessories,grey,grey belt for everyday wear,images\1000009.jpg
1000010,P0010,Red Mini dress,Mini dress,Dress,red,red mini dress for everyday wear,images\1000010.jpg
1000011,P0011,Navy Jacket,Jacket,Outerwear,navy,navy jacket for everyday wear,images\1000011.jpg
1000012,P0012,Green Sweater,Sweater,Topwear,green,green sweater for everyday wear,images\1000012.jpg
1000013,P0013,Navy Skirt,Skirt,Bottomwear,navy,navy skirt for everyday wear,images\1000013.jpg
1000014,P0014,Green Boots,Boots,Footwear,green,green boots for everyday wear,images\1000014.jpg
1000015,P0015,White Bag,Bag,Accessories,white,white bag for everyday wear,images\1000015.jpg
1000016,P0016,White Maxi dress,Maxi dress,Dress,white,white maxi dress for everyday wear,images\1000016.jpg
1000017,P0017,Green Coat,Coat,Outerwear,green,green coat for everyday wear,images\1000017.jpg
1000018,P0018,Black Shirt,Shirt,Topwear,black,black shirt for everyday wear,images\1000018.jpg
1000019,P0019,White Shorts,Shorts,Bottomwear,white,white shorts for everyday wear,images\1000019.jpg
1000020,P0020,White Heels,Heels,Footwear,white,white heels for everyday wear,images\1000020.jpg
1000021,P0021,Green Scarf,Scarf,Accessories,green,green scarf for everyday wear,images\1000021.jpg
1000022,P0022,Beige Mini dress,Mini dress,Dress,beige,beige mini dress for everyday wear,images\1000022.jpg
1000023,P0023,White Blazer,Blazer,Outerwear,white,white blazer for everyday wear,images\1000023.jpg
1000024,P0024,Beige T-shirt,T-shirt,Topwear,beige,beige t-shirt for everyday wear,images\1000024.jpg
1000025,P0025,White Skirt,Skirt,Bottomwear,white,white skirt for everyday wear,images\1000025.jpg
1000026,P0026,White Boots,Boots,Footwear,white,white boots for everyday wear,images\1000026.jpg
1000027,P0027,Red Hat,Hat,Accessories,red,red hat for everyday wear,images\1000027.jpg
1000028,P0028,Green Maxi dress,Maxi dress,Dress,green,green maxi dress for everyday wear,images\1000028.jpg
1000029,P0029,Green Jacket,Jacket,Outerwear,green,green jacket for everyday wear,images\1000029.jpg
1000030,P0030,Beige Shirt,Shirt,Topwear,beige,beige shirt for everyday wear,images\1000030.jpg
1000031,P0031,White Skirt,Skirt,Bottomwear,white,white skirt for everyday wear,images\1000031.jpg
1000032,P0032,Beige Boots,Boots,Footwear,beige,beige boots for everyday wear,images\1000032.jpg
1000033,P0033,Grey Belt,Belt,Accessories,grey,grey belt for everyday wear,images\1000033.jpg
1000034,P0034,Red Maxi dress,Maxi dress,Dress,red,red maxi dress for everyday wear,images\1000034.jpg
1000035,P0035,Beige Blazer,Blazer,Outerwear,beige,beige blazer for everyday wear,images\1000035.jpg
1000036,P0036,Black Shirt,Shirt,Topwear,black,black shirt for everyday wear,images\1000036.jpg
1000037,P0037,Black Trousers,Trousers,Bottomwear,black,black trousers for everyday wear,images\1000037.jpg
1000038,P0038,Blue Sandals,Sandals,Footwear,blue,blue sandals for everyday wear,images\1000038.jpg
1000039,P0039,White Scarf,Scarf,Accessories,white,white scarf for everyday wear,images\1000039.jpg
1000040,P0040,Green Midi dress,Midi dress,Dress,green,green midi dress for everyday wear,images\1000040.jpg
1000041,P0041,Grey Jacket,Jacket,Outerwear,grey,grey jacket for everyday wear,images\1000041.jpg
1000042,P0042,Grey Sweater,Sweater,Topwear,grey,grey sweater for everyday wear,images\1000042.jpg
1000043,P0043,Red Trousers,Trousers,Bottomwear,red,red trousers for everyday wear,images\1000043.jpg
1000044,P0044,Beige Boots,Boots,Footwear,beige,beige boots for everyday wear,images\1000044.jpg
1000045,P0045,Blue Scarf,Scarf,Accessories,blue,blue scarf for everyday wear,images\1000045.jpg
1000046,P0046,Blue Mini dress,Mini dress,Dress,blue,blue mini dress for everyday wear,images\1000046.jpg
1000047,P0047,Beige Coat,Coat,Outerwear,beige,beige coat for everyday wear,images\1000047.jpg
1000048,P0048,Grey Blouse,Blouse,Topwear,grey,grey blouse for everyday wear,images\1000048.jpg
1000049,P0049,Black Jeans,Jeans,Bottomwear,black,black jeans for everyday wear,images\1000049.jpg
1000050,P0050,Navy Sneakers,Sneakers,Footwear,navy,navy sneakers for everyday wear,images\1000050.jpg
1000051,P0051,Blue Belt,Belt,Accessories,blue,blue belt for everyday wear,images\1000051.jpg
1000052,P0052,White Mini dress,Mini dress,Dress,white,white mini dress for everyday wear,images\1000052.jpg
1000053,P0053,Blue Coat,Coat,Outerwear,blue,blue coat for everyday wear,images\1000053.jpg
1000054,P0054,Red Sweater,Sweater,Topwear,red,red sweater for everyday wear,images\1000054.jpg
1000055,P0055,White Jeans,Jeans,Bottomwear,white,white jeans for everyday wear,images\1000055.jpg
1000056,P0056,Green Sandals,Sandals,Footwear,green,green sandals for everyday wear,images\1000056.jpg
1000057,P0057,Red Bag,Bag,Accessories,red,red bag for everyday wear,images\1000057.jpg
1000058,P0058,Navy Maxi dress,Maxi dress,Dress,navy,navy maxi dress for everyday wear,images\1000058.jpg
1000059,P0059,Black Coat,Coat,Outerwear,black,black coat for everyday wear,images\1000059.jpg
1000060,P0060,Navy Shirt,Shirt,Topwear,navy,navy shirt for everyday wear,images\1000060.jpg
1000061,P0061,Red Jeans,Jeans,Bottomwear,red,red jeans for everyday wear,images\1000061.jpg
1000062,P0062,Navy Boots,Boots,Footwear,navy,navy boots for everyday wear,images\1000062.jpg
1000063,P0063,Navy Scarf,Scarf,Accessories,navy,navy scarf for everyday wear,images\1000063.jpg
1000064,P0064,Black Mini dress,Mini dress,Dress,black,black mini dress for everyday wear,images\1000064.jpg
1000065,P0065,Green Blazer,Blazer,Outerwear,green,green blazer for everyday wear,images\1000065.jpg
1000066,P0066,Black Sweater,Sweater,Topwear,black,black sweater for everyday wear,images\1000066.jpg
1000067,P0067,Green Jeans,Jeans,Bottomwear,green,green jeans for everyday wear,images\1000067.jpg
1000068,P0068,Beige Sandals,Sandals,Footwear,beige,beige sandals for everyday wear,images\1000068.jpg
1000069,P0069,Beige Bag,Bag,Accessories,beige,beige bag for everyday wear,images\1000069.jpg
